sale,discount,product,color,discounted_price,original_price,size
SOLD OUT,NA,Vera Dress | Black,Black,$81.42 ,$108.65 ,NA
SOLD OUT,NA,Parisa Maxi Mini Dress | Black,Black,$70.52 ,$81.42 ,NA
SOLD OUT,NA,Island Earrings | Gold Color,Gold,NA,$12.25 ,NA
SOLD OUT,NA,Riley Bracelets,NA,NA,$26.96 ,NA
SOLD OUT,NA,Lili Necklace,NA,NA,$26.96 ,NA
SOLD OUT,NA,Solo Necklace,NA,NA,$31.31 ,NA
SALE,24%,Sasha Top,Brown,$35.13 ,$46.02 ,NA
SALE,18%,Juliette Satin Playsuit,Black,$48.74 ,$59.63 ,"S, M, L"
SALE,68%,Blossom Set,Green,$20.42 ,$63.99 ,"S, M, L"
SALE,58%,Desire Dress,Red,$34.04 ,$81.42 ,"M, L"
SALE,65%,Maisia Bikini Set,Cayan,$14.98 ,$42.21 ,"M, L"
SALE,49%,Amelia Bikini Set,Black,$21.51 ,$42.21 ,"S, M"
SALE,48%,Ruby Bikini Set,Black,$20.42 ,$39.48 ,"S, M, L"
SALE,63%,Kaya Beach Dress,Lime,$40.57 ,$108.65 ,Free
SALE,66%,Delusion Set,Black,$26.96 ,$80.33 ,"M, L"
SALE,65%,Maisia Bikini Set,Yellow,$14.98 ,$42.21 ,L
SALE,59%,Maisie Tanning Bikini Set,NA,$16.07 ,$39.48 ,"S, M, L"
SALE,61%,Tina Crochet Cover-up,White,$10.62 ,$26.96 ,"S, M, L"
SALE,67%,Juetta Jumpsuit,Black,$26.96 ,$80.87 ,"S, M, L"
SALE,55%,Mary Cover Up,Black,$18.79 ,$42.21 ,L
SALE,43%,Anika Dress,White,$36.76 ,$63.99 ,S
SALE,40%,Chicky Shorts,Black,$20.42 ,$34.04 ,"XS, S"
SALE,34%,Sensation Swimsuit,Black,$26.96 ,$40.84 ,"S, M, L"
SALE,34%,Sensation Swimsuit,White,$26.96 ,$40.84 ,"S, M, L"
SALE,45%,Chico Set,Yellow,$26.96 ,$49.01 ,"S, M, L"
SALE,65%,Flora Bikini Set,Blue,$18.79 ,$54.19 ,"S, M, L"
SALE,67%,Justina Jumpsuit,Peach,$26.96 ,$80.87 ,"S, M, L, XL"
SALE,57%,Raisa Playsuit,White,$32.40 ,$75.43 ,"M, L"
SALE,67%,Tanika Top,White,$26.96 ,$81.42 ,"S, M, L"
SALE,41%,New York Dress,Orange,$47.65 ,$81.42 ,"XS, S, M, L"
SALE,22%,Sheida Dress,Beige,$47.65 ,$61.27 ,"S, L"
SALE,39%,Yaran Set,Yellow,$54.19 ,$88.50 ,"XS, S"
SALE,45%,Kiara Jumpsuit,Orange,$34.04 ,$62.36 ,"XS, S, M, L"
SALE,36%,Eden Dress,White,$47.65 ,$74.88 ,"XS, S, M"
SALE,61%,Nora Dress,Light Pink,$26.96 ,$69.43 ,"XS, S, M, L"
SALE,60%,Blossom Dress,White,$32.40 ,$81.42 ,"M, L"
SALE,71%,Juno Set,Black,$20.42 ,$69.43 ,"S, M"
SALE,50%,Tibila Mesh Blouse,White,$26.96 ,$54.19 ,"S, M, L"
SALE,50%,Bianca Long Sleeve Sheer Top,Off White,$26.96 ,$54.19 ,"L, XL"
SALE,30%,Kimano Sequin Maxi Dress & Cover Up,Black,$190.33 ,$272.02 ,"S, M, L"
SALE,74%,Kaya Beach Dress,Turquoise,$35.13 ,$135.87 ,Free
SALE,67%,Damayanti Maxi Dress,Black,$26.96 ,$81.42 ,"L, XL"
SALE,50%,Tamela Top,Black,$26.96 ,$54.19 ,"S, M, L"
SALE,43%,Thea Dress - Green,Green,$26.96 ,$47.65 ,"S, M, L"
SALE,33%,Lara Jumpsuit,Yellow & Pink,$54.19 ,$80.87 ,"S, M"
SALE,50%,Zina Playsuit,White,$26.96 ,$54.19 ,"S, M, L"
SALE,52%,Clio Dress,Light Pink,$25.87 ,$53.64 ,"S, M, L"
SALE,58%,Nicole Dress,Black,$26.96 ,$63.99 ,"S, M, L"
SALE,50%,Katie Midi Sheer Dress,Black,$26.96 ,$53.64 ,S
SALE,42%,Thalia Dress,Green,$31.31 ,$54.19 ,S
SALE,49%,Bingo Knit Top,Black,$9.53 ,$18.79 ,"S, M"
SALE,47%,Bri Bikini Set,Red,$21.51 ,$40.84 ,"S, M, L"
SALE,32%,Seashells Bikini Set,Black,$34.04 ,$50.37 ,"S, M, L"
SALE,45%,Chico Set,Blue,$26.96 ,$49.01 ,NA
SALE,57%,Aoife Set,Pink,$26.96 ,$62.36 ,NA
SALE,49%,Persephone Set,Green,$40.57 ,$80.33 ,NA
SALE,37%,Una Cover Up,Beige,$26.96 ,$42.75 ,NA
SALE,41%,Eva Set,Gray,$40.03 ,$68.07 ,NA
SALE,57%,Aoife Set,Yellow Green,$26.96 ,$62.36 ,NA
SALE,41%,Florence Bikini Set,Yellow,$23.14 ,$39.48 ,NA
SALE,50%,Lottie Set,Dark Blue,$40.57 ,$81.42 ,NA
SALE,49%,Amelia Bikini Set,Pink,$21.51 ,$42.21 ,NA
SALE,50%,Jacinta Cardigan Sequin & Beaded Top,Black,$54.19 ,$108.65 ,NA
SALE,69%,Desideria Maxi Dress,White,$34.04 ,$108.65 ,NA
SALE,31%,Dotty Maxi Dress,Black,$61.27 ,$88.50 ,NA
SALE,52%,Como Knit Dress,Khaki,$20.42 ,$42.21 ,NA
SALE,52%,Kylie Dress,Orange,$20.42 ,$42.21 ,NA
SALE,49%,Bingo Knit Top,White,$9.53 ,$18.79 ,NA
SALE,45%,Juna Blouse,White,$18.79 ,$34.04 ,NA
SALE,49%,Persephone Set,Pink,$40.57 ,$80.33 ,NA
SALE,70%,Freya Bikini Set,NA,$16.07 ,$54.19 ,"S, M, L"
SALE,49%,Millie Set,Lilac,$40.57 ,$78.97 ,"S, M, L"
SALE,41%,Eva Set,Peach,$40.03 ,$68.07 ,"S, M, L"
SALE,57%,Evie Set,Pink,$35.13 ,$81.42 ,NA
SALE,51%,Jalessa Beaded Jacket,Black,$66.71 ,$135.87 ,"S, M, L"
SALE,56%,Karen Maxi Dress & Cover Up,Beige,$54.19 ,$122.26 ,"S, M, L"
SALE,60%,Dalila Maxi Dress,NA,$26.96 ,$66.71 ,"S, M, L"
SALE,64%,Brandi Beaded Top,Black,$39.48 ,$108.65 ,"M, L, XL"
SALE,64%,Brandi Beaded Top,Beige,$39.48 ,$108.65 ,M
SALE,62%,Bice Blouse,White,$13.34 ,$35.13 ,"petit S, petit M, petit L"
SALE,50%,Tala Mesh Top,Beige,$26.96 ,$54.19 ,NA
SALE,50%,Tala Mesh Top,Black,$26.96 ,$54.19 ,NA
SALE,25%,Vera Dress,Gray,$81.42 ,$108.65 ,NA
SALE,51%,Jalessa Beaded Jacket,Beige,$66.71 ,$135.87 ,NA
SALE,72%,Tazia Long Sleeve Blouse,White,$14.98 ,$54.19 ,NA
SALE,61%,Livia Knit Top,Nude,$13.34 ,$34.04 ,NA
SALE,23%,Bessie Backless Dress & Headscarf Scarf,Turquoise & Purple,$62.36 ,$81.42 ,S
SALE,33%,Tilda Mesh Beaded Cardigan Top,Black,$108.65 ,$163.10 ,NA
SALE,43%,Traviata Sequin & Beaded Top,Off-white,$108.65 ,$190.33 ,"S, M, L"
SALE,13%,Jay Earrings,Blue,$36.76 ,$42.21 ,NA
SALE,13%,Jay Earrings,Black,$36.76 ,$42.21 ,NA
SALE,13%,Jay Earrings,Colourful,$36.76 ,$42.21 ,NA
SALE,62%,Negin Dress,Purple,$20.42 ,$54.19 ,NA
SALE,39%,Bermuda Dress,Orange,$39.48 ,$65.08 ,NA
SALE,43%,Maya Dress,Green,$26.96 ,$47.65 ,NA
SALE,58%,SAMIRA DRESS - LIGHT PINK,LIGHT,$26.96 ,$64.53 ,NA
SALE,44%,Alyne Set,Blue,$34.04 ,$61.27 ,NA
SALE,35%,Arezoo Dress,Peach,$42.21 ,$64.53 ,NA
SALE,50%,Sadie Dress,Pink,$26.96 ,$54.19 ,NA
SALE,58%,Anna Dress,Purple,$26.96 ,$63.99 ,NA
SALE,23%,Delia Dress,Pink,$37.30 ,$48.20 ,NA
SALE,50%,Forest Girl Knit Cover Up,White,$26.96 ,$54.19 ,NA
SALE,50%,Ida Dress,Green,$26.96 ,$54.19 ,NA
SALE,38%,Hestia Cover Up,Orange,$26.96 ,$43.29 ,NA
